Country,Species,Scientific_Species,Genes,details_url,Institute,Editing_Method,Delivery,Foreign_DNA,Regulatory_Process,NGT
China,"Sheep
          (",Ovis aries,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=129&RegProcess=0,"Northwest A&F UniversityYangling 712100, ShaanxiCN",Embryo edit,microinjection approach of the CRISPR/Cas9 system,No,No,CRISPR
China,"Sheep
          (",Ovis aries,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=133&RegProcess=0,"Biological Sciences Section, Central Research Institute for Feed and LivestockZen-noh, Ibaraki 300-4204JP",Embryo edit,,No,No,CRISPR
Japan,"Pig
          (",Sus scrofa domesticus,NANOS3,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=182&RegProcess=0,"Department of Marine Biosciences, Tokyo University of Marine Science and Technology4-5-7 Konan, Minato-Ku, Tokyo, 108-8477JP",Embryo edit,,No,No,CRISPR
Japan,"Rainbow trout
          (",Oncorhynchus mykiss,dnd,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=99&RegProcess=0,"Seoul National University, Gwanak-gu151-921KR",Embryo edit,"exon 2 targeted and sgRNA, Cas0 mRNA and sgRNA were injected into zygotes",No,No,CRISPR
South Korea,"Cattle
          (",Bos taurus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=43&RegProcess=0,"University of California, DavisUS",Embryo edit,RNPs were delivered via cytoplasmic microinjection of single-cell bovine embryos,No,No,CRISPR
United States,"Cattle
          (",Bos taurus,NANOS3,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=46&RegProcess=0,"School of Fisheries, Aquaculture and Aquatic Sciences, Auburn UniversityAuburn, AL, 36849US",Embryo edit,Insertion of an elovl2 transgene isolated from masu salmon (Oncorhynchus masou) driven by a carp Ã-actin promoter using a two-hit by gRNA and two oligos with a targeting plasmid (2H2OP) CRISPR/Cas9 approach.,Yes,No,CRISPR
United States,"Channel catfish
          (",Ictalurus punctatus,elovl2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=91&RegProcess=0,"Department of Animal Sciences, The Ohio State UniversityColumbus, OH 43210US",Other,"injected the adenovirus containing the CRISPR-Cas9 system with the guide RNA (gRNA) targeting the MLPH gene, termed Adeno-MLPH, and the MSTN gene, termed Adeno-MSTN, into chicken and duck blastoderms,",No,No,CRISPR
United States,"Chicken
          (",Gallus gallus,"MLPH, MSTN",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=81&RegProcess=0,"Department of Animal Sciences, The Ohio State UniversityColumbus, OH 43210US",Other,Adenovirus,No,No,CRISPR
United States,"Duck
          (",Anas platyrhyncos,"MLPH, MSTN",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=27&RegProcess=0,"University of California, DavisUS",Embryo edit,,No,No,CRISPR
United States,"Goat
          (",Capra hircus,OTX2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=209&RegProcess=0,"Shanghai Fisheries Institute265 Jiamusi Road, Shanghai, 200433CN",Embryo edit,Five hundred one-cell fertilized eggs from two golden tilapia crosses were injected with pMDS-PMEL plasmid and Ac transposase mRNA.,No,No,CRISPR
United States,"Nile tilapia
          (",Oreochromis niloticus,Pmel17,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=100&RegProcess=0,Genus PLCUS,Embryo edit,RNP,No,No,CRISPR
United States,"Pig
          (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=6&RegProcess=0,"University of California, DavisUS",Embryo edit,Electroporation of dual-guide RNP into zygotes,No,No,CRISPR
United States,"Sheep
          (",Ovis aries,"SOCS2, PDX1",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=208&RegProcess=0,"CSIRO Health and Biosecurity, Australian Centre for Disease PreparednessAU",Other,Tol2 transposon constructs encoding Cas9 and guide RNAs (gRNAs) specific to the immediate early infected-cell polypeptide-4 (ICP4) of MDV.,Yes,No,CRISPR
Australia,"Chicken
          (",Gallus gallus,ICP4,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=80&RegProcess=0,"Northwest A&F UniversityYangling 712100, ShaanxiCN",Cloned cell line,"Using the HMEJ-based method, we targeted to the bROSA26 locus to stimulate functional NRAMP1 gene KI and ultimately more effectively produced gene-edited cattle.",No,No,CRISPR
China,"Cattle
          (",Bos taurus,NRAMP1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=48&RegProcess=0,"Chinese Academy of Sciences, WuhanCN",Embryo edit,coinjection with specific sgRNAs with Cas9 mRNA.,No,No,CRISPR
